363.25	-0.00804156	-0.0024706	0.0014981	0.00841253	1.42099e-07	197.078	10.2032	0.00454651	
363.258	-0.00800589	-0.00247048	0.0014981	0.0083784	1.61452e-07	197.149	10.2448	0.00454651	
363.266	-0.00797006	-0.00247032	0.0014981	0.00834412	1.8344e-07	197.221	10.2869	0.00454651	
363.274	-0.00793449	-0.00247014	0.0014981	0.0083101	2.08124e-07	197.292	10.329	0.00454651	
363.282	-0.00789858	-0.00247002	0.0014981	0.00827578	2.36262e-07	197.365	10.3718	0.00454651	
363.29	-0.00786298	-0.00246981	0.0014981	0.00824175	2.67786e-07	197.438	10.4146	0.00454651	
363.298	-0.00782711	-0.00246958	0.0014981	0.00820746	3.03635e-07	197.511	10.4581	0.00454651	
363.306	-0.00779154	-0.00246942	0.0014981	0.0081735	3.43698e-07	197.585	10.5016	0.00454651	
363.314	-0.00775572	-0.00246928	0.0014981	0.00813932	3.89164e-07	197.661	10.5457	0.00454651	
363.322	-0.00772019	-0.00246908	0.0014981	0.00810541	4.39967e-07	197.735	10.5898	0.00454651	
363.33	-0.00768456	-0.00246897	0.0014981	0.00807145	4.97261e-07	197.812	10.6344	0.00454651	
363.338	-0.00764851	-0.00246875	0.0014981	0.00803707	5.62563e-07	197.889	10.6799	0.00454651	
363.346	-0.00761304	-0.00246853	0.0014981	0.00800325	6.34813e-07	197.965	10.725	0.00454651	
363.354	-0.0075773	-0.00246822	0.0014981	0.00796917	7.16676e-07	198.042	10.7709	0.00454651	
363.362	-0.0075416	-0.00246809	0.0014981	0.00793518	8.08381e-07	198.121	10.817	0.00454651	
363.37	-0.00750581	-0.00246785	0.0014981	0.0079011	9.11672e-07	198.2	10.8636	0.00454651	
363.378	-0.00747002	-0.00246769	0.0014981	0.00786707	1.02745e-06	198.281	10.9106	0.00454651	
363.386	-0.00743449	-0.00246731	0.0014981	0.00783322	1.15661e-06	198.36	10.9578	0.00454651	
363.394	-0.00739872	-0.00246716	0.0014981	0.00779922	1.30198e-06	198.441	11.0056	0.00454651	
363.402	-0.00736315	-0.00246697	0.0014981	0.00776543	1.46385e-06	198.523	11.0534	0.00454651	
363.41	-0.00732731	-0.00246674	0.0014981	0.00773139	1.6464e-06	198.606	11.1021	0.00454651	
363.418	-0.00729192	-0.00246648	0.0014981	0.00769777	1.84811e-06	198.688	11.1506	0.00454651	
363.426	-0.00725616	-0.00246613	0.0014981	0.00766378	2.07604e-06	198.771	11.2001	0.00454651	
363.434	-0.00722039	-0.00246593	0.0014981	0.00762986	2.33042e-06	198.856	11.2498	0.00454651	
363.442	-0.00718484	-0.00246568	0.0014981	0.00759615	2.6127e-06	198.941	11.2998	0.00454651	
363.45	-0.00714887	-0.00246541	0.0014981	0.00756204	2.93168e-06	199.028	11.3507	0.00454651	
363.458	-0.00711329	-0.00246507	0.0014981	0.00752831	3.28374e-06	199.113	11.4016	0.00454651	
363.466	-0.00707761	-0.00246483	0.0014981	0.00749452	3.67689e-06	199.201	11.453	0.00454651	
363.474	-0.00704217	-0.00246455	0.0014981	0.00746097	4.11177e-06	199.289	11.5045	0.00454651	
363.482	-0.00700638	-0.0024643	0.0014981	0.00742712	4.60039e-06	199.378	11.5569	0.00454651	
363.49	-0.00697071	-0.00246399	0.0014981	0.00739338	5.14249e-06	199.467	11.6097	0.00454651	
363.498	-0.00693521	-0.00246365	0.0014981	0.0073598	5.74258e-06	199.557	11.6626	0.00454651	
363.506	-0.00689934	-0.00246349	0.0014981	0.00732596	6.41502e-06	199.65	11.7165	0.00454651	
363.514	-0.00686355	-0.0024631	0.0014981	0.00729214	7.16194e-06	199.741	11.7709	0.00454651	
363.522	-0.00682787	-0.00246281	0.0014981	0.00725846	7.98798e-06	199.834	11.8255	0.00454651	
363.53	-0.00679238	-0.00246246	0.0014981	0.00722497	8.89971e-06	199.927	11.8803	0.00454651	
363.538	-0.00675675	-0.0024621	0.0014981	0.00719136	9.91417e-06	200.021	11.9358	0.00454651	
363.546	-0.00672117	-0.00246178	0.0014981	0.00715783	1.10359e-05	200.116	11.9917	0.00454651	
363.554	-0.00668539	-0.00246151	0.0014981	0.00712415	1.22842e-05	200.213	12.0484	0.00454651	
363.562	-0.00664964	-0.00246119	0.0014981	0.0070905	1.36656e-05	200.311	12.1056	0.00454651	
363.57	-0.00661408	-0.00246082	0.0014981	0.00705703	1.51861e-05	200.408	12.163	0.00454651	
363.578	-0.00657829	-0.00246046	0.0014981	0.00702338	1.68768e-05	200.507	12.2213	0.00454651	
363.586	-0.00654273	-0.00246013	0.0014981	0.00698996	1.87327e-05	200.607	12.2797	0.00454651	
363.594	-0.00650719	-0.00245974	0.0014981	0.00695657	2.07805e-05	200.707	12.3387	0.00454651	
363.602	-0.00647162	-0.00245939	0.0014981	0.00692318	2.30407e-05	200.808	12.3982	0.00454651	
363.61	-0.00643581	-0.00245901	0.0014981	0.00688959	2.55498e-05	200.911	12.4586	0.00454651	
363.618	-0.00640013	-0.0024587	0.0014981	0.00685616	2.83042e-05	201.015	12.5194	0.00454651	
363.626	-0.00636461	-0.00245833	0.0014981	0.00682287	3.13258e-05	201.119	12.5804	0.00454651	
363.634	-0.00632878	-0.0024579	0.0014981	0.00678931	3.46826e-05	201.225	12.6426	0.00454651	
363.642	-0.00629318	-0.00245755	0.0014981	0.00675601	3.83481e-05	201.331	12.7049	0.00454651	
363.65	-0.0062577	-0.00245714	0.0014981	0.00672283	4.23667e-05	201.438	12.7677	0.00454651	
