0.075	-0.000288325	0.000588187	-1.5936	0.0813456	-0.594608	0.0884093	1.00078
0.225	-0.00198626	0.000579527	-1.34235	0.0799856	-0.494613	0.0869483	0.991577
0.375	-0.00250476	0.000577179	-1.05922	0.0793151	-0.333362	0.0865908	1.00192
0.525	-0.00305852	0.000589797	-0.88983	0.0810884	-0.128584	0.0886826	0.996674
0.675	-0.00275978	0.000629253	-0.559642	0.0866063	-0.177304	0.0954777	1.01323
0.075	-0.00072705	0.000599716	-0.279155	0.0835932	-0.17368	0.0901254	1.00285
0.225	-0.000753983	0.000590202	-0.143997	0.0820011	-0.0839511	0.0885654	0.994399
0.375	-0.000466218	0.000586424	-0.0641995	0.0810049	-0.03087	0.0880031	1.00619
0.525	-0.000620082	0.000597553	-0.199906	0.0823404	0.0810793	0.0897181	0.997352
0.675	-0.00130469	0.00063293	-0.251262	0.0872043	-0.123176	0.0960115	1.01385
0.075	-0.000288325	0.000588187	-1.5936	0.0813456	-0.594608	0.0884093	1.00078
0.225	-0.00198626	0.000579527	-1.34235	0.0799856	-0.494613	0.0869483	0.991577
0.375	-0.00250476	0.000577179	-1.05922	0.0793151	-0.333362	0.0865908	1.00192
0.525	-0.00305852	0.000589797	-0.88983	0.0810884	-0.128584	0.0886826	0.996674
0.675	-0.00275978	0.000629253	-0.559642	0.0866063	-0.177304	0.0954777	1.01323
